discovery_index,discovery_query,candidate_id,dependent_taxon_or_system,required_function,relation_class,hard_direction_primary_source,hard_direction_event_to_function_text,functional_pool_route,functional_pool_definition,operational_space_source,operational_space_state,operational_time_source,operational_time_state,role_x_estimand,role_y_function_estimand,independent_role_x_source_metadata,independent_role_y_source_metadata,management_confounded,previously_consumed_or_v1_screened,G1_event_function_relation,G2_operational_space,G3_operational_time,G4_role_estimands,G5_focal_evidence_independence,G6_management_scope,G7_fresh_endpoint_identity,screen_state,notes
1,obligate pollination experiment reproductive success pollinator community exact study site phenology,SMILV2-001,Smilax insularis / Dasineura heterosmilacicola,effective specialist-midge pollination service,successful_reproduction_requires_pollination_or_fertilization_service,10.1016/j.cub.2026.03.002,"External experiment supports dependence of sexual reproduction on the specialist midge pollination system, but this biological system was already screened as SMIL001 in v1.",direct_aggregate_channel,effective pollination service by the specialist midge at the reproductive opportunity,not_reopened_for_v2,not_evaluated_after_G7_exclusion,not_reopened_for_v2,not_evaluated_after_G7_exclusion,successful sexual reproduction at the frozen opportunity,effective midge pollination service at the same opportunity,not_evaluated_after_G7_exclusion,not_evaluated_after_G7_exclusion,not_evaluated,true,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,fail,excluded_previously_consumed_or_v1_screened_system,Logged because it appeared first under the frozen v2 search. No v1 system is rescued or rescored under functional-pool semantics.
2,obligate pollination experiment reproductive success pollinator community exact study site phenology,ARLYV2-002,Arabidopsis lyrata common-garden reproductive-isolation system,effective outcross pollen-transfer service,successful_reproduction_requires_pollination_or_fertilization_service,primary common-garden reproductive-isolation study returned by frozen query 1,"The study concerns phenology, pollinator preference and reproductive isolation, including selfing; it does not establish that the dependent reproductive event logically requires the declared pollination function.",direct_aggregate_channel,effective outcross pollen transfer during the focal reproductive window,common-garden study metadata,not_evaluated_after_G1_failure,study phenology metadata,not_evaluated_after_G1_failure,successful reproduction,effective outcross pollination service,not_evaluated_after_G1_failure,not_evaluated_after_G1_failure,not_evaluated,false,fail,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,pass,blocked_event_function_relation,Association or isolation through pollinator preference is not the exact hard implication E(k) -> F(k).
3,obligate pollination experiment reproductive success pollinator community exact study site phenology,YUFIV2-003,Yucca filamentosa,crepuscular/nocturnal yucca-moth pollination service,successful_reproduction_requires_pollination_or_fertilization_service,10.3732/ajb.1400351; 10.1890/04-1454,Pollinator-exclusion evidence supports fruit production only when flowers are exposed to the crepuscular/nocturnal yucca-moth pollination function.,direct_aggregate_channel,Yucca-moth pollen-transfer function during Y. filamentosa flowering; provider occurrence alone is not F(k),Clarke County Georgia roadside study site,pass_exact_relation_site,April-July 2010 and 2011 entire flowering period,pass_event_specific_window,fruit or successful reproductive event at the frozen opportunity,effective yucca-moth pollination function at the same opportunity,no independent fresh reproductive-event answer source identified from permitted metadata before G5 decision,no independent fresh functional-pollination answer source identified from permitted metadata before G5 decision,false,false,pass,pass,pass,pass,fail,not_evaluated,not_evaluated,blocked_focal_evidence_independence,Functional-pool semantics repair the single-provider problem but relation-defining sources cannot double as confirmatory role answers. No occurrence or outcome values were opened to rescue G5.
4,obligate pollination experiment reproductive success pollinator community exact study site phenology,PHALV2-004,Phyllodoce aleutica,effective pollen-transfer service,successful_reproduction_requires_pollination_or_fertilization_service,primary breeding-system study returned by frozen query 1,The study reports self-compatibility and autogamous selfing; successful reproduction therefore is not shown to require the declared pollination function.,direct_aggregate_channel,effective pollen transfer during flowering,study metadata,not_evaluated_after_G1_failure,study phenology metadata,not_evaluated_after_G1_failure,successful reproduction,effective pollination service,not_evaluated_after_G1_failure,not_evaluated_after_G1_failure,not_evaluated,false,fail,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,pass,blocked_event_function_relation,Cryptic self-incompatibility or inbreeding depression does not convert observed autogamy into a hard pollination-necessity relation.
5,obligate pollination experiment reproductive success pollinator community exact study site phenology,HALOV2-005,Haloxylon ammodendron,effective pollen-transfer service,successful_reproduction_requires_pollination_or_fertilization_service,primary pollen-limitation/fragmentation experiment returned by frozen query 1,Pollen supplementation and visitation effects show pollen limitation not the exact hard necessity that every successful reproductive event requires the declared function.,direct_aggregate_channel,effective pollen-transfer function at the focal reproductive opportunity,field fragmentation study metadata,not_evaluated_after_G1_failure,field flowering metadata,not_evaluated_after_G1_failure,successful reproduction,effective pollination service,not_evaluated_after_G1_failure,not_evaluated_after_G1_failure,not_evaluated,false,fail,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,pass,blocked_event_function_relation,Pollen limitation is probabilistic performance evidence not a hard E(k) -> F(k) dependency.
6,obligate pollination experiment reproductive success pollinator community exact study site phenology,ORCHV2-006,Pholidota articulata + Coelogyne prolifera shared orchid system,compatible wasp-mediated cross-pollination service,successful_reproduction_requires_pollination_or_fertilization_service,10.1002/ece3.72843,Bagged intact and hand-self treatments failed while cross-pollination produced fruit supporting dependence on compatible cross-pollen delivery in the focal orchid system.,direct_aggregate_channel,compatible cross-pollen delivery by effective pollinators including the shared wasp pollinators at the same flower-level reproductive opportunity,LaoBanZhang ancient tea garden study site,pass_exact_relation_site,2019-2021 observations; 2021 flowering windows May 12-June 9 and May 15-July 13 for the two focal orchids,pass_event_specific_window,successful fruit production from the focal reproductive opportunity,compatible effective cross-pollination service at the same opportunity,no independent fresh reproductive-event answer source identified from permitted metadata before G5 decision,no independent fresh functional-pollination answer source identified from permitted metadata before G5 decision,not_evaluated,false,pass,pass,pass,pass,fail,not_evaluated,not_evaluated,blocked_focal_evidence_independence,The same primary study establishes the hard relation and contains the focal pollinator/reproductive observations; those observations cannot be reused as confirmatory answers. Management provenance was not promoted to a failure after G5 stopped admission.
7,obligate pollination experiment reproductive success pollinator community exact study site phenology,EULAV2-007,Eulophia alta,effective bee-pollination service,successful_reproduction_requires_pollination_or_fertilization_service,primary Eulophia alta breeding-system study returned by frozen query 1,The orchid is self-compatible and partially autogamous so successful reproduction is not shown to require bee pollination at every qualifying opportunity.,direct_aggregate_channel,effective bee pollen-transfer service during flowering,three natural sites near Manaus,not_evaluated_after_G1_failure,study flowering metadata,not_evaluated_after_G1_failure,successful capsule or fruit production,effective bee pollination service,not_evaluated_after_G1_failure,not_evaluated_after_G1_failure,false,false,fail,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,pass,blocked_event_function_relation,Partial autogamy blocks the exact hard dependency even if animal pollination is ecologically important.
8,obligate pollination experiment reproductive success pollinator community exact study site phenology,URBPLV2-008,Sinapis alba + Lotus corniculatus experimental urban/rural plant-plot system,effective pollination service,successful_reproduction_requires_pollination_or_fertilization_service,primary urban-rural phenology/pollination experiment returned by frozen query 1,The study does not establish an exact obligate event-to-function relation; plants were also greenhouse-raised and deliberately placed/renewed in experimental plots.,direct_aggregate_channel,effective pollination service during the experimental flowering opportunity,experimental urban/rural plots,not_evaluated_after_G1_failure,experimental flowering schedule,not_evaluated_after_G1_failure,successful reproductive event,effective pollination service,not_evaluated_after_G1_failure,not_evaluated_after_G1_failure,true,false,fail,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,pass,blocked_event_function_relation,G1 already fails; deliberate placement would independently require a G6 engineering-only exclusion if the relation were otherwise eligible.
9,pollinator exclusion experiment obligate specialized pollination exact locality flowering period,AUCV2-009,Aucuba japonica,effective insect pollination service,successful_reproduction_requires_pollination_or_fertilization_service,10.4005/jjfs.92.217,Pollinator exclusion reduced fruit set and artificial pollination restored it but the source concludes mainly insect pollinated rather than establishing zero reproduction without the function.,direct_aggregate_channel,effective insect pollen-transfer service during the focal flowering opportunity,primary study locality metadata,not_evaluated_after_G1_failure,primary study flowering metadata,not_evaluated_after_G1_failure,successful fruit production,effective insect pollination service,not_evaluated_after_G1_failure,not_evaluated_after_G1_failure,not_evaluated,false,fail,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,pass,blocked_event_function_relation,A reduced response is not the logical hard implication required by G1.
10,pollinator exclusion experiment obligate specialized pollination exact locality flowering period,CYMDV2-010,Cymbidium dayanum,effective pollinia-transfer service yielding capsule initiation,successful_reproduction_requires_pollination_or_fertilization_service,10.1111/1442-1984.12231,The breeding experiment reports self-compatibility but no autonomous self-pollination supporting the requirement for pollinator-mediated pollen transfer for capsule production.,direct_aggregate_channel,effective pollinia removal/deposition service capable of producing capsule initiation at the same reproductive opportunity,Kishira Elementary School site K Kimotsuki Kagoshima,pass_exact_relation_site,breeding treatment initiated 21 October 2016 within the focal flowering study,pass_event_specific_window,capsule production or successful reproductive event,effective pollinia-transfer function at the same opportunity,no independent fresh reproductive-event answer source identified from permitted metadata before G5 decision,no independent fresh functional-pollination answer source identified from permitted metadata before G5 decision,not_evaluated,false,pass,pass,pass,pass,fail,not_evaluated,not_evaluated,blocked_focal_evidence_independence,The relation paper cannot also provide confirmatory role answers. Seminatural provenance would require a management audit only if G5 were independently cleared; it is not treated here as a biological negative or inferred G6 failure.
11,pollinator exclusion experiment obligate specialized pollination exact locality flowering period,PACHV2-011,Pachycarpus grandiflorus,effective specialist-wasp pollination service,successful_reproduction_requires_pollination_or_fertilization_service,primary specialized Hemipepsis-wasp pollination study returned by frozen query 2,The source supports strong specialization through floral filters but does not establish the exact hard necessity that successful reproduction requires this function.,direct_aggregate_channel,effective pollen-transfer service by the biologically compatible pollinator guild,primary field-site metadata,not_evaluated_after_G1_failure,primary flowering metadata,not_evaluated_after_G1_failure,successful reproduction,effective specialist-wasp pollination service,not_evaluated_after_G1_failure,not_evaluated_after_G1_failure,not_evaluated,false,fail,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,pass,blocked_event_function_relation,Specialization preference and floral filtering do not by themselves license a hard dependency.
12,pollinator exclusion experiment obligate specialized pollination exact locality flowering period,PELTV2-012,Peltandra virginica,effective insect pollen-transfer service during the pistillate stage,successful_reproduction_requires_pollination_or_fertilization_service,10.1002/j.1537-2197.1995.tb12656.x,The source describes protogyny preventing self-pollination and dependence on insects for pollination supporting the event-to-function direction.,direct_aggregate_channel,effective insect pollen-transfer function during the receptive pistillate stage; Elachiptera occurrence alone is not F(k),field observations reported for central New Jersey and southeastern Pennsylvania,blocked_exact_relation_population_or_site,flowering/receptive-stage biology reported in the primary study,not_evaluated_after_G2_failure,successful reproductive event,effective insect pollen-transfer function during the same receptive opportunity,not_evaluated_after_G2_failure,not_evaluated_after_G2_failure,false,false,pass,fail,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,blocked_operational_space,The hard biological direction is stronger than in many v1 named-partner screens but the retrieved primary metadata did not freeze one exact relation population/site. The 12-candidate hard stop is reached here.
