scientific_name,validation_stratum,candidate_rank,source_registry,source_ref,selection_basis
Poa annua,temperate_annual_herb,1,product_a_v2_8_1_fresh_taxon_candidates.csv,9d2a45b56408cde8a4af41722538d0086c532cc9,widespread annual herb analog fixed before paired outcomes
Veronica persica,temperate_annual_herb,2,product_a_v2_8_1_fresh_taxon_candidates.csv,9d2a45b56408cde8a4af41722538d0086c532cc9,widespread annual herb fallback fixed before paired outcomes
Lamium purpureum,temperate_annual_herb,3,product_a_v2_8_1_fresh_taxon_candidates.csv,9d2a45b56408cde8a4af41722538d0086c532cc9,widespread annual herb fallback fixed before paired outcomes
Acer platanoides,temperate_deciduous_tree,1,product_a_v2_8_1_fresh_taxon_candidates.csv,9d2a45b56408cde8a4af41722538d0086c532cc9,widespread deciduous tree analog fixed before paired outcomes
Alnus glutinosa,temperate_deciduous_tree,2,product_a_v2_8_1_fresh_taxon_candidates.csv,9d2a45b56408cde8a4af41722538d0086c532cc9,widespread deciduous tree fallback fixed before paired outcomes
Betula pubescens,temperate_deciduous_tree,3,product_a_v2_8_1_fresh_taxon_candidates.csv,9d2a45b56408cde8a4af41722538d0086c532cc9,widespread deciduous tree fallback fixed before paired outcomes
Pseudotsuga menziesii,boreal_temperate_conifer,1,product_a_v2_8_1_fresh_taxon_candidates.csv,9d2a45b56408cde8a4af41722538d0086c532cc9,cold-temperate conifer analog fixed before paired outcomes
Picea sitchensis,boreal_temperate_conifer,2,product_a_v2_8_1_fresh_taxon_candidates.csv,9d2a45b56408cde8a4af41722538d0086c532cc9,temperate conifer fallback fixed before paired outcomes
Thuja occidentalis,boreal_temperate_conifer,3,product_a_v2_8_1_fresh_taxon_candidates.csv,9d2a45b56408cde8a4af41722538d0086c532cc9,cold-temperate conifer fallback fixed before paired outcomes
Agrostis stolonifera,wetland_grass,1,product_a_v2_8_1_fresh_taxon_candidates.csv,9d2a45b56408cde8a4af41722538d0086c532cc9,widespread wetland graminoid analog fixed before paired outcomes
Alopecurus geniculatus,wetland_grass,2,product_a_v2_8_1_fresh_taxon_candidates.csv,9d2a45b56408cde8a4af41722538d0086c532cc9,wetland graminoid fallback fixed before paired outcomes
Carex rostrata,wetland_grass,3,product_a_v2_8_1_fresh_taxon_candidates.csv,9d2a45b56408cde8a4af41722538d0086c532cc9,wetland graminoid fallback fixed before paired outcomes
Sambucus nigra,temperate_shrub,1,product_a_v2_8_1_fresh_taxon_candidates.csv,9d2a45b56408cde8a4af41722538d0086c532cc9,widespread temperate shrub analog fixed before paired outcomes
Corylus avellana,temperate_shrub,2,product_a_v2_8_1_fresh_taxon_candidates.csv,9d2a45b56408cde8a4af41722538d0086c532cc9,temperate shrub fallback fixed before paired outcomes
Rosa canina,temperate_shrub,3,product_a_v2_8_1_fresh_taxon_candidates.csv,9d2a45b56408cde8a4af41722538d0086c532cc9,temperate shrub fallback fixed before paired outcomes
Asplenium trichomanes,fern,1,product_a_v2_8_1_fresh_taxon_candidates.csv,9d2a45b56408cde8a4af41722538d0086c532cc9,widespread fern analog fixed before paired outcomes
Matteuccia struthiopteris,fern,2,product_a_v2_8_1_fresh_taxon_candidates.csv,9d2a45b56408cde8a4af41722538d0086c532cc9,temperate fern fallback fixed before paired outcomes
Polystichum acrostichoides,fern,3,product_a_v2_8_1_fresh_taxon_candidates.csv,9d2a45b56408cde8a4af41722538d0086c532cc9,temperate fern fallback fixed before paired outcomes
Ericameria nauseosa,arid_shrub,1,product_a_v2_8_1_fresh_taxon_candidates.csv,9d2a45b56408cde8a4af41722538d0086c532cc9,widespread arid shrub analog fixed before paired outcomes
Ephedra viridis,arid_shrub,2,product_a_v2_8_1_fresh_taxon_candidates.csv,9d2a45b56408cde8a4af41722538d0086c532cc9,arid shrub fallback fixed before paired outcomes
Atriplex polycarpa,arid_shrub,3,product_a_v2_8_1_fresh_taxon_candidates.csv,9d2a45b56408cde8a4af41722538d0086c532cc9,arid shrub fallback fixed before paired outcomes
Rhizophora mucronata,tropical_mangrove,1,product_a_v2_8_1_fresh_taxon_candidates.csv,9d2a45b56408cde8a4af41722538d0086c532cc9,widespread Indo-Pacific mangrove analog fixed before paired outcomes
Rhizophora apiculata,tropical_mangrove,2,product_a_v2_8_1_fresh_taxon_candidates.csv,9d2a45b56408cde8a4af41722538d0086c532cc9,Indo-Pacific mangrove fallback fixed before paired outcomes
Bruguiera gymnorhiza,tropical_mangrove,3,product_a_v2_8_1_fresh_taxon_candidates.csv,9d2a45b56408cde8a4af41722538d0086c532cc9,Indo-Pacific mangrove fallback fixed before paired outcomes
Eucalyptus obliqua,southern_temperate_tree,1,product_a_v2_8_1_fresh_taxon_candidates.csv,9d2a45b56408cde8a4af41722538d0086c532cc9,southern temperate tree analog fixed before paired outcomes
Eucalyptus regnans,southern_temperate_tree,2,product_a_v2_8_1_fresh_taxon_candidates.csv,9d2a45b56408cde8a4af41722538d0086c532cc9,southern temperate tree fallback fixed before paired outcomes
Nothofagus dombeyi,southern_temperate_tree,3,product_a_v2_8_1_fresh_taxon_candidates.csv,9d2a45b56408cde8a4af41722538d0086c532cc9,southern temperate tree fallback fixed before paired outcomes
Picea engelmannii,montane_tree,1,product_a_v2_8_1_fresh_taxon_candidates.csv,9d2a45b56408cde8a4af41722538d0086c532cc9,montane conifer tree analog fixed before paired outcomes
Abies concolor,montane_tree,2,product_a_v2_8_1_fresh_taxon_candidates.csv,9d2a45b56408cde8a4af41722538d0086c532cc9,montane tree fallback fixed before paired outcomes
Pinus contorta,montane_tree,3,product_a_v2_8_1_fresh_taxon_candidates.csv,9d2a45b56408cde8a4af41722538d0086c532cc9,montane tree fallback fixed before paired outcomes
Abies balsamea,boreal_conifer,1,product_a_v2_8_1_fresh_taxon_candidates.csv,9d2a45b56408cde8a4af41722538d0086c532cc9,boreal conifer analog fixed before paired outcomes
Pinus resinosa,boreal_conifer,2,product_a_v2_8_1_fresh_taxon_candidates.csv,9d2a45b56408cde8a4af41722538d0086c532cc9,boreal conifer fallback fixed before paired outcomes
Picea rubens,boreal_conifer,3,product_a_v2_8_1_fresh_taxon_candidates.csv,9d2a45b56408cde8a4af41722538d0086c532cc9,cold-region conifer fallback fixed before paired outcomes
Sagittaria latifolia,wetland_emergent,1,product_a_v2_8_1_fresh_taxon_candidates.csv,9d2a45b56408cde8a4af41722538d0086c532cc9,widespread wetland emergent analog fixed before paired outcomes
