discovery_index,discovery_query,candidate_id,biological_system,relation_source_R,event_answer_source_X,function_answer_source_Y,relation_text,event_estimand,function_estimand,operational_space,operational_time,A1_hard_relation_source,A2_event_answer_source_identity,A3_function_answer_source_identity,A4_three_way_independence,A5_common_operational_space,A6_common_operational_time,A7_estimand_alignment,A8_management_scope,A9_fresh_endpoint_identity,screen_state,notes
1,obligate pollination reproductive dependence independent monitoring dataset exact site phenology,PYRBV3-001,Pyrus bourgaeana,Castilla et al. 2019 controlled compatible-pollen crosses,Acta Oecologica 2022 fruit-set/crop monitoring stream,Acta Oecologica 2022 pollinator-visitation stream,successful sexual reproduction in this self-incompatible tree requires compatible pollen transfer,fruit initiation or crop outcome at monitored tree,compatible effective pollen-transfer service,Doñana Mediterranean population,2019-2020 flowering seasons,pass,pass,pass,pass,pass,pass,fail,pass,pass,blocked_estimand_alignment,"The independent visitation stream records visitors, but the study itself distinguishes pollen limitation from pollinator limitation; raw visitation cannot be promoted to compatible pollen-transfer function."
2,obligate pollination reproductive dependence independent monitoring dataset exact site phenology,BANCV3-002,Banisteriopsis campestris,Martins et al. 2026 pollinator-exclusion field experiment,2005-2019 Cerrado long-term phenology/reproductive stream,none identified before value access,bagging experiment supports dependence on biotic pollination,flowering individual producing fruit,effective biotic pollination function,Cerrado long-term monitoring site southeastern Brazil,event-specific flowering seasons,pass,pass,fail,not_evaluated,pass,pass,not_evaluated,pass,pass,blocked_function_answer_source_identity,"Dependency experiment used individuals explicitly outside the long-term monitoring stream, but no independent functional-pollination observation stream was identified."
3,obligate pollination reproductive dependence independent monitoring dataset exact site phenology,TRIFV3-003,Trifolium barnebyi,Handley and Tronstad pollinator-limitation study,Dryad 2021 seed-set stream,Dryad 2021 bee-observation stream,pollinators limit seed production but the retrieved relation evidence does not license an exact hard necessity,seed production,effective pollination service,Wyoming focal population,2021 flowering season,fail,pass,pass,not_evaluated,pass,pass,not_evaluated,pass,pass,blocked_hard_relation_source,"Pollinator limitation is a performance effect; it is not automatically E(k)->F(k)."
4,obligate pollination reproductive dependence independent monitoring dataset exact site phenology,CYPJV3-004,Cypripedium japonicum,2009 reproductive-success and hand-pollination study,same-study reproductive-success observations,same-study pollinator-behaviour observations,hand supplementation demonstrates pollen limitation but does not establish an exact hard event-to-function necessity,natural fruit or seed production,effective pollination service,Shennongjia Mountain populations,two flowering seasons,fail,pass,pass,not_evaluated,pass,pass,not_evaluated,pass,pass,blocked_hard_relation_source,"Strong pollen limitation is not itself a logical hard dependency."
5,obligate pollination reproductive dependence independent monitoring dataset exact site phenology,WATERV3-005,western Washington native-forb pollination system,Waters et al. 2020 pollinator-exclusion stream,Dryad native-seedset stream,Dryad pollinator-visit stream,pollinator-exclusion treatment supports pollinator dependence of focal native forbs,native seed set,pollinator visitation contacting reproductive organs,Puget Trough experimental prairie plots,2011 bloom season,pass,pass,pass,pass,pass,pass,pass,fail,pass,blocked_management_scope,"R/X/Y are prospectively separable streams, but deliberate exotic-phenology placement creates the focal relation-space pattern; v3 does not convert an engineering-only pattern into a natural dependency endpoint."
6,obligate pollination reproductive dependence independent monitoring dataset exact site phenology,SMILV3-006,Smilax insularis / Dasineura heterosmilacicola,10.1016/j.cub.2026.03.002,not reopened,not reopened,specialist-midge pollination dependency was already consumed in Level-C v1/v2,successful reproduction,effective midge pollination service,not reopened,not reopened,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,fail,excluded_prior_level_c_screen,"Logged on encounter but not rescored; v1/v2 systems cannot re-enter v3."
7,obligate pollination reproductive dependence independent monitoring dataset exact site phenology,CREMV3-007,Cremastra appendiculata var. variabilis,Chung and Chung 2003 breeding-system exclusion experiment,Shimada et al. 2026 fruit-production stream,Shimada et al. 2026 infrared-camera pollinia-carrying visit stream,pollinator-excluded flowers failed while hand pollination succeeded; automatic self-pollination is absent,fruit production at monitored inflorescence,effective pollinia-transfer service by pollinia-carrying visitors,central Japan temperate-forest monitoring site,full flowering periods 2019-2022,pass,pass,pass,pass,pass,pass,pass,pass,pass,architecture_qualified_for_source_qualification,"R is an external breeding-system experiment; X and Y are distinct same-key outcome and camera streams. Provider occurrence alone is not used."
8,obligate pollination reproductive dependence independent monitoring dataset exact site phenology,CORV3-008,Corydalis ambigua,Ohara and Higashi 1994 pollination/self-incompatibility experiment,Kudo and Cooper 2019 natural seed-set monitoring,Kudo and Cooper 2019 queen-bumblebee emergence monitoring,self-incompatible C. ambigua requires bumblebee-mediated pollen transfer for seed production,natural seed set,effective bumblebee pollination service,Nopporo Hokkaido natural forest,1999-2017 spring windows,pass,pass,pass,pass,pass,pass,fail,pass,pass,blocked_estimand_alignment,"Queen emergence is an independent role-side stream but emergence/availability is not itself adequate evidence of effective pollen transfer at each reproductive opportunity."
9,pollinator exclusion reproductive success independent visitation monitoring same locality season,LITHV3-009,Lithospermum zollingeri,2021 covering/shading field study,same-study reproductive-success stream,same-study pollinator-visit stream,covering and shading reduce visitation and reproduction but do not establish an exact hard pollination-function necessity,reproductive success,effective pollination service,forest-edge meadow population,study flowering season,fail,pass,pass,not_evaluated,pass,pass,not_evaluated,pass,pass,blocked_hard_relation_source,"Reduced visitation/reproduction under covering is not E(k)->F(k)."
10,pollinator exclusion reproductive success independent visitation monitoring same locality season,CLERV3-010,Clerodendrum trichotomum,2012 differential visitor-exclusion study,same-study fruit-and-seed stream,same-study flower-visitor stream,visitor groups contribute unequally to seed production but the experiment does not establish a complete hard aggregate-function necessity,fruit and seed production,effective pollen-transfer service,Miyama forest Gifu Japan,2008-2010 August-October windows,fail,pass,pass,not_evaluated,pass,pass,not_evaluated,pass,pass,blocked_hard_relation_source,"Differential contribution of visitor groups is not an obligate aggregate-function relation."
11,host dependent development independent host monitoring dataset exact site phenology,EUREV3-011,Eurema hecabe,2021 host-phenology/development study,Dryad juvenile-development stream,Dryad host-phenology stream,development is plastic across seasonal alternative hosts and the retrieved source does not establish one frozen required compatible-resource function,juvenile development,compatible host-foliage resource,Australian tropical study system,wet-to-dry seasonal transition,fail,pass,pass,not_evaluated,pass,pass,not_evaluated,pass,pass,blocked_hard_relation_source,"Multiple seasonal hosts and developmental plasticity block the exact hard relation required by A1."
12,host dependent development independent host monitoring dataset exact site phenology,BELV3-012,Belonocnema treatae / live-oak budbreak resource,independent 2012-2013 host-specificity studies,Hood et al. 2019 adult-emergence-in-nature stream,Hood et al. 2019 live-oak budbreak-in-nature stream,host-specific gall-wasp reproduction is tied to ephemeral live-oak tissues generated at budbreak,adult emergence/reproductive-stage timing,availability of newly flushed host tissue at budbreak,host-associated Florida live-oak populations,natural spring budbreak/emergence windows,pass,pass,pass,pass,pass,pass,pass,pass,pass,architecture_qualified_for_source_qualification,"Independent host-specificity literature defines R; the later phenology study contains separately generated natural budbreak and wasp-emergence streams on matched host-associated populations."
